

"Von:";"01.01.2021";
"Bis:";"31.12.2021";
"Saldo:";"0 EUR";
"Datum:";"21.05.2021";

"Umsatz abgerechnet und nicht im Saldo enthalten";"Wertstellung";"Belegdatum";"Beschreibung";"Betrag (EUR)";"Urspr�nglicher Betrag";
"Ja";"23.12.2021";"22.12.2021";"Ausgleich Kreditkarte";"431,05";"";
"Ja";"14.11.2021";"11.12.2021";"AMZN";"-183,37";"";
"Ja";"14.10.2021";"12.12.2021";"REWE Weber oHGMuensingen";"-145,15";"";
"Ja";"11.09.2021";"10.12.2021";"SPARKASSE ULMNEUTORSTR.";"-1100,00";"";
"Ja";"03.08.2021";"02.12.2021";"REWE";"-17,26";"";
"Ja";"03.06.2021";"02.12.2021";"REWE";"-119,21";"";
"Ja";"23.05.2021";"21.11.2021";"Media Markt";"-184,45";"";
"Ja";"23.04.2021";"21.11.2021";"IKEA";"-191,61";"";
"Ja";"21.03.2021";"20.11.2021";"Ausgleich Kreditkarte";"1325,64";"";
"Ja";"18.02.2021";"17.11.2021";"Media Markt";"-110,02";"";
"Ja";"13.01.2021";"11.11.2021";"Media Markt";"-161,96";"";
